step,env_id,time_s,dropped,drop_prob
57,2,0.57,0,0.1464
57,3,0.57,0,0.2831
57,4,0.57,1,0.0078
57,5,0.57,1,0.1925
57,6,0.57,0,0.0171
57,7,0.57,0,0.1595
58,0,0.58,0,0.2434
58,1,0.58,0,0.2115
58,2,0.58,1,0.161
58,3,0.58,0,0.008
58,4,0.58,1,0.294
58,5,0.58,0,0.216
58,6,0.58,0,0.2126
58,7,0.58,0,0.0191
59,0,0.59,0,0.2873
59,1,0.59,0,0.1981
59,2,0.59,0,0.2203
59,3,0.59,0,0.127
59,4,0.59,0,0.2649
59,5,0.59,0,0.0408
59,6,0.59,0,0.1736
59,7,0.59,0,0.2107
60,0,0.6,1,0.295
60,1,0.6,0,0.1109
60,2,0.6,1,0.2636
60,3,0.6,0,0.2021
60,4,0.6,0,0.1254
60,5,0.6,0,0.2121
60,6,0.6,1,0.1133
60,7,0.6,0,0.0979
61,0,0.61,0,0.189
61,1,0.61,0,0.0557
61,2,0.61,0,0.1833
61,3,0.61,0,0.0717
61,4,0.61,0,0.1049
61,5,0.61,0,0.0549
61,6,0.61,0,0.1207
61,7,0.61,0,0.0105
62,0,0.62,0,0.119
62,1,0.62,0,0.1374
62,2,0.62,0,0.2469
62,3,0.62,0,0.046
62,4,0.62,1,0.0995
62,5,0.62,0,0.037
62,6,0.62,0,0.1349
62,7,0.62,0,0.2221
63,0,0.63,0,0.1045
63,1,0.63,0,0.0147
63,2,0.63,0,0.1223
63,3,0.63,0,0.2674
63,4,0.63,0,0.171
63,5,0.63,0,0.0352
63,6,0.63,0,0.0549
63,7,0.63,0,0.233
64,0,0.64,0,0.2249
64,1,0.64,0,0.2044
64,2,0.64,0,0.1998
64,3,0.64,0,0.0972
64,4,0.64,0,0.0221
64,5,0.64,0,0.1174
64,6,0.64,0,0.0901
64,7,0.64,0,0.2344
65,0,0.65,0,0.2007
65,1,0.65,0,0.215
65,2,0.65,0,0.152
65,3,0.65,0,0.1262
65,4,0.65,0,0.1293
65,5,0.65,0,0.0559
65,6,0.65,0,0.0445
65,7,0.65,0,0.1728
66,0,0.66,0,0.1272
66,1,0.66,0,0.2839
66,2,0.66,0,0.0351
66,3,0.66,0,0.1763
66,4,0.66,0,0.1694
66,5,0.66,0,0.0066
66,6,0.66,1,0.1412
66,7,0.66,1,0.2285
67,0,0.67,0,0.2314
67,1,0.67,0,0.1757
67,2,0.67,0,0.0413
67,3,0.67,0,0.2795
67,4,0.67,0,0.1143
67,5,0.67,0,0.1371
67,6,0.67,0,0.153
67,7,0.67,0,0.0562
68,0,0.68,0,0.0031
68,1,0.68,0,0.0578
68,2,0.68,1,0.2014
68,3,0.68,0,0.264
68,4,0.68,0,0.2717
68,5,0.68,0,0.1341
68,6,0.68,1,0.1026
68,7,0.68,1,0.2905
69,0,0.69,0,0.1414
69,1,0.69,0,0.1083
69,2,0.69,1,0.0195
69,3,0.69,0,0.0676
69,4,0.69,0,0.197
69,5,0.69,0,0.2198
69,6,0.69,0,0.0305
69,7,0.69,0,0.1064
70,0,0.7,0,0.1177
70,1,0.7,0,0.0367
70,2,0.7,0,0.1078
70,3,0.7,0,0.1403
70,4,0.7,1,0.0943
70,5,0.7,1,0.1916
70,6,0.7,0,0.111
70,7,0.7,0,0.025
71,0,0.71,0,0.089
71,1,0.71,0,0.2291
71,2,0.71,0,0.0647
71,3,0.71,1,0.2812
71,4,0.71,0,0.286
71,5,0.71,0,0.245
71,6,0.71,0,0.0434
71,7,0.71,0,0.0177
72,0,0.72,0,0.0385
72,1,0.72,0,0.2263
72,2,0.72,0,0.2316
72,3,0.72,1,0.1343
72,4,0.72,1,0.2487
72,5,0.72,0,0.19
72,6,0.72,0,0.1095
72,7,0.72,0,0.062
73,0,0.73,0,0.056
73,1,0.73,0,0.0676
73,2,0.73,1,0.2313
73,3,0.73,0,0.1814
73,4,0.73,0,0.0593
73,5,0.73,0,0.2208
73,6,0.73,1,0.1635
73,7,0.73,0,0.1982
74,0,0.74,0,0.0671
74,1,0.74,0,0.0855
74,2,0.74,0,0.2575
74,3,0.74,0,0.0885
74,4,0.74,1,0.0936
74,5,0.74,0,0.2008
74,6,0.74,0,0.2764
74,7,0.74,0,0.2456
75,0,0.75,0,0.1276
75,1,0.75,0,0.0075
75,2,0.75,0,0.2039
75,3,0.75,0,0.1449
75,4,0.75,0,0.067
75,5,0.75,0,0.2409
75,6,0.75,0,0.1999
75,7,0.75,0,0.1833
76,0,0.76,0,0.1342
76,1,0.76,0,0.0395
76,2,0.76,0,0.0275
76,3,0.76,0,0.0326
76,4,0.76,0,0.0764
76,5,0.76,0,0.2697
76,6,0.76,0,0.1625
76,7,0.76,0,0.2875
77,0,0.77,0,0.014
77,1,0.77,0,0.1674
77,2,0.77,0,0.2205
77,3,0.77,0,0.1062
77,4,0.77,1,0.1282
77,5,0.77,0,0.0609
77,6,0.77,0,0.0957
77,7,0.77,1,0.2608
78,0,0.78,0,0.0166
78,1,0.78,0,0.1536
78,2,0.78,0,0.1159
78,3,0.78,0,0.2139
78,4,0.78,0,0.2816
78,5,0.78,0,0.032
78,6,0.78,0,0.1387
78,7,0.78,0,0.1404
79,0,0.79,0,0.2271
79,1,0.79,0,0.1012
79,2,0.79,0,0.0335
79,3,0.79,0,0.1419
79,4,0.79,0,0.05
79,5,0.79,0,0.2643
79,6,0.79,1,0.1453
79,7,0.79,0,0.088
80,0,0.8,0,0.2013
80,1,0.8,0,0.0557
80,2,0.8,0,0.0483
80,3,0.8,0,0.0434
80,4,0.8,0,0.1967
80,5,0.8,0,0.1165
80,6,0.8,1,0.2021
80,7,0.8,0,0.1848
81,0,0.81,0,0.1159
81,1,0.81,0,0.2947
81,2,0.81,0,0.0548
81,3,0.81,1,0.2758
81,4,0.81,0,0.0723
81,5,0.81,0,0.1504
81,6,0.81,0,0.1457
81,7,0.81,0,0.2004
82,0,0.82,0,0.0229
82,1,0.82,0,0.0488
82,2,0.82,1,0.2851
82,3,0.82,0,0.028
82,4,0.82,0,0.1195
82,5,0.82,0,0.1836
82,6,0.82,0,0.0222
82,7,0.82,0,0.1738
83,0,0.83,1,0.1779
83,1,0.83,0,0.2476
83,2,0.83,1,0.1051
83,3,0.83,0,0.2153
83,4,0.83,0,0.0992
83,5,0.83,0,0.0202
83,6,0.83,0,0.2009
83,7,0.83,0,0.2667
84,0,0.84,0,0.2499
84,1,0.84,0,0.029
84,2,0.84,0,0.1391
84,3,0.84,0,0.0636
84,4,0.84,0,0.1827
84,5,0.84,1,0.214
84,6,0.84,0,0.1576
84,7,0.84,0,0.1607
85,0,0.85,0,0.0963
85,1,0.85,0,0.0176
85,2,0.85,1,0.1363
85,3,0.85,1,0.2412
85,4,0.85,0,0.0772
85,5,0.85,1,0.1841
85,6,0.85,0,0.107
85,7,0.85,0,0.089
86,0,0.86,0,0.2639
86,1,0.86,0,0.248
86,2,0.86,0,0.0152
86,3,0.86,1,0.2609
86,4,0.86,0,0.0402
86,5,0.86,0,0.1261
86,6,0.86,0,0.0431
86,7,0.86,0,0.2795
87,0,0.87,0,0.1927
87,1,0.87,0,0.1411
87,2,0.87,0,0.021
87,3,0.87,0,0.2282
87,4,0.87,0,0.0122
87,5,0.87,0,0.1256
87,6,0.87,0,0.008
87,7,0.87,0,0.1492
88,0,0.88,0,0.129
88,1,0.88,0,0.071
88,2,0.88,0,0.1051
88,3,0.88,0,0.2983
88,4,0.88,0,0.2083
88,5,0.88,1,0.2037
88,6,0.88,0,0.0452
88,7,0.88,0,0.1409
89,0,0.89,0,0.2536
89,1,0.89,1,0.1012
89,2,0.89,0,0.0074
89,3,0.89,0,0.2282
89,4,0.89,0,0.0777
89,5,0.89,0,0.0402
89,6,0.89,0,0.0912
89,7,0.89,0,0.2974
90,0,0.9,1,0.1121
90,1,0.9,0,0.1734
90,2,0.9,0,0.0263
90,3,0.9,0,0.1862
90,4,0.9,0,0.0341
90,5,0.9,0,0.2394
90,6,0.9,0,0.1624
90,7,0.9,0,0.1963
91,0,0.91,0,0.2359
91,1,0.91,0,0.1091
91,2,0.91,0,0.206
91,3,0.91,0,0.0391
91,4,0.91,0,0.0907
91,5,0.91,0,0.0513
91,6,0.91,1,0.0849
91,7,0.91,0,0.0421
92,0,0.92,0,0.0769
92,1,0.92,0,0.2864
92,2,0.92,0,0.1422
92,3,0.92,0,0.2844
92,4,0.92,0,0.1536
92,5,0.92,0,0.1418
92,6,0.92,0,0.0218
92,7,0.92,1,0.088
93,0,0.93,0,0.0271
93,1,0.93,1,0.2726
93,2,0.93,0,0.0898
93,3,0.93,0,0.0498
93,4,0.93,0,0.165
93,5,0.93,0,0.0228
93,6,0.93,0,0.1502
93,7,0.93,0,0.0226
94,0,0.94,0,0.2574
94,1,0.94,0,0.0421
94,2,0.94,0,0.2263
94,3,0.94,0,0.1533
94,4,0.94,0,0.1387
94,5,0.94,0,0.2277
94,6,0.94,0,0.2133
94,7,0.94,0,0.27
95,0,0.95,0,0.2654
95,1,0.95,0,0.1531
95,2,0.95,1,0.1871
95,3,0.95,0,0.072
95,4,0.95,0,0.2418
95,5,0.95,0,0.0739
95,6,0.95,0,0.2463
95,7,0.95,0,0.2245
96,0,0.96,0,0.1775
96,1,0.96,1,0.1847
96,2,0.96,1,0.041
96,3,0.96,0,0.2339
96,4,0.96,0,0.1552
96,5,0.96,0,0.1831
96,6,0.96,0,0.1659
96,7,0.96,0,0.0534
97,0,0.97,0,0.0685
97,1,0.97,0,0.021
97,2,0.97,0,0.0377
97,3,0.97,0,0.0354
97,4,0.97,0,0.1115
97,5,0.97,0,0.2913
97,6,0.97,0,0.2281
97,7,0.97,0,0.1958
98,0,0.98,0,0.1541
98,1,0.98,1,0.0718
98,2,0.98,0,0.0029
98,3,0.98,0,0.2402
98,4,0.98,0,0.1223
98,5,0.98,0,0.1504
98,6,0.98,0,0.2818
98,7,0.98,0,0.0915
99,0,0.99,0,0.1798
99,1,0.99,0,0.2024
99,2,0.99,0,0.21
99,3,0.99,0,0.2333
99,4,0.99,0,0.12
99,5,0.99,0,0.0853
99,6,0.99,1,0.1747
99,7,0.99,0,0.2071
100,0,1.0,0,0.0583
100,1,1.0,0,0.1338
100,2,1.0,0,0.0959
100,3,1.0,0,0.1041
100,4,1.0,0,0.0317
100,5,1.0,0,0.01
100,6,1.0,0,0.0483
100,7,1.0,0,0.0921
101,0,1.01,0,0.2185
101,1,1.01,1,0.2621
101,2,1.01,0,0.0945
101,3,1.01,0,0.1875
101,4,1.01,0,0.2369
101,5,1.01,0,0.1191
101,6,1.01,0,0.0279
101,7,1.01,0,0.2902
102,0,1.02,0,0.18
102,1,1.02,0,0.0005
102,2,1.02,0,0.0017
102,3,1.02,0,0.109
102,4,1.02,0,0.2367
102,5,1.02,0,0.2665
102,6,1.02,0,0.1416
102,7,1.02,0,0.2663
103,0,1.03,0,0.021
103,1,1.03,0,0.0284
103,2,1.03,0,0.1284
103,3,1.03,0,0.2181
103,4,1.03,0,0.0316
103,5,1.03,0,0.0519
103,6,1.03,0,0.2563
103,7,1.03,0,0.1696
104,0,1.04,0,0.2389
104,1,1.04,0,0.1718
104,2,1.04,0,0.1169
104,3,1.04,0,0.0804
104,4,1.04,0,0.0965
104,5,1.04,0,0.063
104,6,1.04,0,0.0114
104,7,1.04,1,0.2102
105,0,1.05,1,0.0496
105,1,1.05,0,0.2957
105,2,1.05,0,0.0291
105,3,1.05,1,0.0558
105,4,1.05,0,0.0592
105,5,1.05,0,0.0051
105,6,1.05,0,0.1645
105,7,1.05,0,0.2006
106,0,1.06,0,0.2281
106,1,1.06,0,0.0258
106,2,1.06,1,0.2036
106,3,1.06,0,0.083
106,4,1.06,1,0.2325
106,5,1.06,0,0.1766
106,6,1.06,0,0.294
106,7,1.06,0,0.1868
107,0,1.07,0,0.0762
107,1,1.07,0,0.0764
107,2,1.07,0,0.1068
107,3,1.07,0,0.163
107,4,1.07,0,0.0368
107,5,1.07,0,0.0482
107,6,1.07,0,0.0482
107,7,1.07,0,0.1529
108,0,1.08,0,0.0596
108,1,1.08,0,0.2043
108,2,1.08,0,0.2396
108,3,1.08,0,0.0742
108,4,1.08,0,0.2587
108,5,1.08,0,0.1635
108,6,1.08,0,0.2089
108,7,1.08,0,0.2733
109,0,1.09,0,0.0394
109,1,1.09,0,0.2445
109,2,1.09,0,0.2295
109,3,1.09,0,0.095
109,4,1.09,0,0.0896
109,5,1.09,0,0.0952
109,6,1.09,0,0.13
109,7,1.09,0,0.0504
110,0,1.1,0,0.2063
110,1,1.1,0,0.1976
110,2,1.1,0,0.188
110,3,1.1,0,0.1458
110,4,1.1,0,0.2886
110,5,1.1,0,0.2814
110,6,1.1,0,0.0302
110,7,1.1,0,0.1271
111,0,1.11,0,0.1872
111,1,1.11,0,0.2521
111,2,1.11,0,0.066
111,3,1.11,0,0.1265
111,4,1.11,0,0.1494
111,5,1.11,0,0.1099
111,6,1.11,0,0.0065
111,7,1.11,0,0.1729
112,0,1.12,1,0.2092
112,1,1.12,0,0.2832
112,2,1.12,0,0.05
112,3,1.12,0,0.2235
112,4,1.12,0,0.0053
112,5,1.12,0,0.1362
112,6,1.12,1,0.1373
112,7,1.12,0,0.0391
113,0,1.13,0,0.2422
113,1,1.13,0,0.1559
113,2,1.13,1,0.1435
113,3,1.13,0,0.0613
113,4,1.13,0,0.2459
113,5,1.13,1,0.0727
113,6,1.13,0,0.141
113,7,1.13,0,0.2684
114,0,1.14,0,0.2914
114,1,1.14,0,0.0475
114,2,1.14,0,0.0291
114,3,1.14,1,0.2686
114,4,1.14,0,0.2244
114,5,1.14,0,0.2151
114,6,1.14,0,0.1281
114,7,1.14,0,0.0272
115,0,1.15,1,0.1676
115,1,1.15,0,0.2215
115,2,1.15,0,0.1425
115,3,1.15,0,0.242
115,4,1.15,0,0.0905
115,5,1.15,0,0.0299
115,6,1.15,0,0.0515
115,7,1.15,0,0.0864
116,0,1.16,0,0.2792
116,1,1.16,0,0.2495
116,2,1.16,0,0.2549
116,3,1.16,0,0.1872
116,4,1.16,0,0.2696
116,5,1.16,0,0.0742
116,6,1.16,0,0.2035
116,7,1.16,0,0.2089
117,0,1.17,0,0.1769
